reg_no,score,course
2017/242559,,ECE 511
2017/247306,,ECE 511
2017/243330,,ECE 511
2017/247307,,ECE 511
2017/241523,,ECE 511
2017/241426,,ECE 511
2015/202051,,ECE 511
2017/247314,,ECE 511
2017/247316,,ECE 511
2017/247319,,ECE 511
2016/233496,XX,ECE 511
2017/243337,XX,ECE 511
2017/247322,,ECE 511
2017/247324,,ECE 511
2017/247330,,ECE 511
2018/250680,,ECE 511
2017/247332,,ECE 511
2017/247336,,ECE 511
2016/237223,,ECE 511
2017/247339,,ECE 511
2017/243343,,ECE 511
2017/243342,,ECE 511
2017/243694,,ECE 511
2017/247347,,ECE 511
2017/243693,,ECE 511
2017/247377,,ECE 511
2017/247379,,ECE 511
2017/251648,,ECE 511
2017/243339,,ECE 511
2017/243691,,ECE 511
2017/247382,XX,ECE 511
2017/247388,,ECE 511
2017/247390,,ECE 511
2017/247392,,ECE 511
2017/243332,,ECE 511
2017/247394,,ECE 511
2014/193739,,ECE 511
2017/243333,,ECE 511
2017/247396,,ECE 511
2017/243334,,ECE 511
2017/247400,,ECE 511
2017/247403,,ECE 511
2017/247405,,ECE 511
2017/247408,,ECE 511
2017/242562,,ECE 511
2018/250563,,ECE 511
2017/247411,,ECE 511
2017/247412,,ECE 511
2017/247413,XX,ECE 511
2017/247415,,ECE 511
2017/247416,,ECE 511
2017/245079,,ECE 511
2017/243981,,ECE 511
2017/247419,,ECE 511
2017/244966,,ECE 511
2017/247460,,ECE 511
2017/247462,,ECE 511
2016/241007,XX,ECE 511
2018/242518,,ECE 511
2017/241396,,ECE 511
2017/242609,,ECE 511
2017/243338,,ECE 511
2017/247466,,ECE 511
2017/247467,,ECE 511
2017/243341,,ECE 511
2017/247469,,ECE 511
2017/247470,,ECE 511
2017/241424,,ECE 511
2017/247471,,ECE 511
2017/247473,,ECE 511
2017/244998,,ECE 511
2017/245213,,ECE 511
2017/247474,,ECE 511
2017/247475,,ECE 511
2017/247476,,ECE 511
2017/242564,,ECE 511
2017/247477,,ECE 511
2017/247478,,ECE 511
2017/247479,,ECE 511
2017/242611,XX,ECE 511
2017/242561,,ECE 511
2017/247480,,ECE 511
2017/247481,XX,ECE 511
2018/250698,,ECE 511
2017/251649,,ECE 511
2018/242536,,ECE 511
2017/247488,,ECE 511
2017/247492,,ECE 511
2017/247495,,ECE 511
2017/247497,,ECE 511
2017/242563,,ECE 511
2017/247499,,ECE 511
2017/247504,,ECE 511
2018/250361,,ECE 511
2017/243977,,ECE 511
2016/237232,,ECE 511
2017/247513,,ECE 511
2017/247518,,ECE 511
2017/247522,XX,ECE 511
2017/247535,,ECE 511
2017/243340,XX,ECE 511
2017/247538,,ECE 511
2016/232390,XX,ECE 511
2017/241520,,ECE 511
2017/243335,XX,ECE 511
2018/242549,,ECE 511
2017/247549,,ECE 511
2017/241427,,ECE 511
2017/247554,XX,ECE 511
2017/247561,,ECE 511
2017/243979,,ECE 511
2017/247566,,ECE 511
2017/243331,,ECE 511
2017/243329,,ECE 511
2017/247569,,ECE 511
2017/243336,,ECE 511
2017/247582,XX,ECE 511
2017/242560,,ECE 511
2017/247586,,ECE 511
2017/243982,,ECE 511
2017/247590,,ECE 511
2017/241425,,ECE 511
2017/245069,,ECE 511
2017/243980,,ECE 511
2017/247595,XX,ECE 511
2017/241939,XX,ECE 511
2017/247603,,ECE 511
2017/247609,,ECE 511
2017/247613,,ECE 511
2017/243692,,ECE 511
2017/241521,XX,ECE 511
2017/243364,,ECE 511
2017/241522,,ECE 511
2017/247616,,ECE 511
2017/245047,,ECE 511
2018/242677,,ECE 511
2017/247622,,ECE 511
2017/247626,,ECE 511
2018/249029,,ECE 511
2017/247631,,ECE 511
2017/247633,,ECE 511
2017/251986,XX,ECE 511
2017/247638,,ECE 511
2016/240964,,ECE 511
2017/243984,XX,ECE 511
2017/247642,,ECE 511
2017/247651,,ECE 511
2017/247655,,ECE 511
2017/247659,,ECE 511
2017/247678,,ECE 511
2017/247685,,ECE 511
2017/247691,,ECE 511
2017/247697,,ECE 511
2017/247711,,ECE 511
2017/247718,,ECE 511
2012/181387,,ECE 511
2016/233494,,ECE 511
2014/191764,,ECE 511
2013/188968,,ECE 511
2016/237237,,ECE 511
2016/232911,,ECE 511
2016/240141,XX,ECE 511
2016/237920,,ECE 511
2016/232376,,ECE 511
2013/188130,XX,ECE 511
2016/237922,,ECE 511
2010/170439,XX,ECE 511
2017/242559,,ECE 512
2017/247306,,ECE 512
2017/247307,,ECE 512
2017/241523,,ECE 512
2015/202051,,ECE 512
2017/241426,,ECE 512
2017/247314,,ECE 512
2017/247316,,ECE 512
2017/247319,,ECE 512
2017/247322,,ECE 512
2017/247324,,ECE 512
2018/250680,,ECE 512
2017/247332,,ECE 512
2017/247336,,ECE 512
2017/247339,,ECE 512
2017/243343,,ECE 512
2017/243342,,ECE 512
2017/243694,,ECE 512
2017/247347,,ECE 512
2017/243693,,ECE 512
2017/247377,,ECE 512
2017/247379,,ECE 512
2017/251648,,ECE 512
2017/243339,,ECE 512
2017/243691,,ECE 512
2016/233494,,ECE 512
2017/247382,XX,ECE 512
2017/247388,,ECE 512
2017/247390,,ECE 512
2017/247392,,ECE 512
2017/247394,,ECE 512
2017/247395,,ECE 512
2017/243333,,ECE 512
2017/247396,,ECE 512
2017/247400,,ECE 512
2017/247403,,ECE 512
2017/247405,,ECE 512
2018/250563,,ECE 512
2017/247408,,ECE 512
2017/242562,,ECE 512
2017/247411,,ECE 512
2017/247412,,ECE 512
2017/247415,,ECE 512
2017/247416,,ECE 512
2017/245079,,ECE 512
2017/243981,,ECE 512
2017/247419,,ECE 512
2017/244966,,ECE 512
2017/247460,,ECE 512
2018/242518,,ECE 512
2017/241396,,ECE 512
2017/242609,,ECE 512
2017/243338,,ECE 512
2017/247467,,ECE 512
2017/243341,,ECE 512
2017/247469,,ECE 512
2017/247470,,ECE 512
2017/241424,,ECE 512
2017/247471,,ECE 512
2017/247473,,ECE 512
2017/244998,,ECE 512
2015/197561,XX,ECE 512
2017/245213,,ECE 512
2017/247474,,ECE 512
2017/247475,,ECE 512
2017/247476,,ECE 512
2017/242564,,ECE 512
2017/247477,,ECE 512
2017/247478,,ECE 512
2017/247479,,ECE 512
2017/242561,,ECE 512
2017/247480,,ECE 512
2018/250698,,ECE 512
2017/251649,,ECE 512
2018/242536,,ECE 512
2017/247488,,ECE 512
2017/247495,,ECE 512
2017/247497,,ECE 512
